wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
192121,21,Harare,Harare,,1921,19,Old ward
192120,20,Harare,Harare,,1921,19,Boundary adjusted
132608,8,Mashonaland East,Ruwa,,1326,13,New ward
192146,46,Harare,Harare,,1921,19,?
130215,15,Mashonaland East,Goromonzi,,1302,13,Old ward
192122,22,Harare,Harare,,1921,19,Old ward
192307,7,Harare,Epworth,,1923,19,?
192109,9,Harare,Harare,,1921,19,Boundary adjusted
192118,18,Harare,Harare,,1921,19,Old ward
192225,25,Harare,Chitungwiza,,1922,19,?
192221,21,Harare,Chitungwiza,,1922,19,Old ward
192133,33,Harare,Harare,,1921,19,Old ward
192144,44,Harare,Harare,,1921,19,Old ward
192128,28,Harare,Harare,,1921,19,Old ward
192204,4,Harare,Chitungwiza,,1922,19,Boundary adjusted
192136,36,Harare,Harare,,1921,19,Boundary adjusted
192135,35,Harare,Harare,,1921,19,Old ward
120118,18,Mashonaland Central,Bindura,,1201,12,Old ward
120420,20,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
192142,42,Harare,Harare,,1921,19,Old ward
192141,41,Harare,Harare,,1921,19,Old ward
140624,24,Mashonaland West,Zvimba,,1406,14,Old ward
192117,17,Harare,Harare,,1921,19,Old ward
130809,9,Mashonaland East,Seke,,1308,13,Old ward
192130,30,Harare,Harare,,1921,19,Boundary adjusted
192132,32,Harare,Harare,,1921,19,Old ward
192108,8,Harare,Harare,,1921,19,Old ward
192107,7,Harare,Harare,,1921,19,Boundary adjusted
192134,34,Harare,Harare,,1921,19,?
192126,26,Harare,Harare,,1921,19,Old ward
192143,43,Harare,Harare,,1921,19,Old ward
192116,16,Harare,Harare,,1921,19,Old ward
192140,40,Harare,Harare,,1921,19,Old ward
192139,39,Harare,Harare,,1921,19,Old ward
192145,45,Harare,Harare,,1921,19,Old ward
192137,37,Harare,Harare,,1921,19,Boundary adjusted
192305,5,Harare,Epworth,,1923,19,Old ward
192303,3,Harare,Epworth,,1923,19,Old ward
192115,15,Harare,Harare,,1921,19,Old ward
192138,38,Harare,Harare,,1921,19,Old ward
192124,24,Harare,Harare,,1921,19,Old ward
192125,25,Harare,Harare,,1921,19,Old ward
192131,31,Harare,Harare,,1921,19,Old ward
192127,27,Harare,Harare,,1921,19,Old ward
192129,29,Harare,Harare,,1921,19,Old ward
192103,3,Harare,Harare,,1921,19,Boundary adjusted
192112,12,Harare,Harare,,1921,19,Boundary adjusted
192123,23,Harare,Harare,,1921,19,Old ward
110718,18,Manicaland,Nyanga,,1107,11,Old ward
110717,17,Manicaland,Nyanga,,1107,11,Old ward
192102,2,Harare,Harare,,1921,19,Old ward
192105,5,Harare,Harare,,1921,19,Old ward
192114,14,Harare,Harare,,1921,19,Old ward
