wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
130711,11,Mashonaland East,Mutoko,,1307,13,Old ward
130710,10,Mashonaland East,Mutoko,,1307,13,Old ward
130717,17,Mashonaland East,Mutoko,,1307,13,Old ward
130723,23,Mashonaland East,Mutoko,,1307,13,Old ward
120615,15,Mashonaland Central,Rushinga,,1206,12,Old ward
120502,2,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
120503,3,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
120205,5,Mashonaland Central,Centenary,,1202,12,Old ward
120219,19,Mashonaland Central,Centenary,,1202,12,New ward
120814,14,Mashonaland Central,Mbire,,1208,12,New ward
120202,2,Mashonaland Central,Centenary,,1202,12,Old ward
120203,3,Mashonaland Central,Centenary,,1202,12,Boundary adjusted
120612,12,Mashonaland Central,Rushinga,,1206,12,Boundary adjusted
120619,19,Mashonaland Central,Rushinga,,1206,12,Old ward
120605,5,Mashonaland Central,Rushinga,,1206,12,Old ward
120604,4,Mashonaland Central,Rushinga,,1206,12,Boundary adjusted
120621,21,Mashonaland Central,Rushinga,,1206,12,New ward
120616,16,Mashonaland Central,Rushinga,,1206,12,Old ward
120614,14,Mashonaland Central,Rushinga,,1206,12,Boundary adjusted
142409,9,Mashonaland West,Kariba Urban,,1424,14,Old ward
120209,9,Mashonaland Central,Centenary,,1202,12,Old ward
142408,8,Mashonaland West,Kariba Urban,,1424,14,Old ward
120810,10,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120227,27,Mashonaland Central,Centenary,,1202,12,New ward
120533,33,Mashonaland Central,Mount Darwin,,1205,12,New ward
120511,11,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
120320,20,Mashonaland Central,Guruve,,1203,12,Old ward
120808,8,Mashonaland Central,Mbire,,1208,12,Old ward
120807,7,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120224,24,Mashonaland Central,Centenary,,1202,12,New ward
120504,4,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
120505,5,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120623,23,Mashonaland Central,Rushinga,,1206,12,New ward
120532,32,Mashonaland Central,Mount Darwin,,1205,12,New ward
120534,34,Mashonaland Central,Mount Darwin,,1205,12,New ward
120531,31,Mashonaland Central,Mount Darwin,,1205,12,New ward
120506,6,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120208,8,Mashonaland Central,Centenary,,1202,12,Old ward
120210,10,Mashonaland Central,Centenary,,1202,12,Old ward
120218,18,Mashonaland Central,Centenary,,1202,12,Old ward
120217,17,Mashonaland Central,Centenary,,1202,12,Old ward
120508,8,Mashonaland Central,Mount Darwin,,1205,12,Old ward
120507,7,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
120535,35,Mashonaland Central,Mount Darwin,,1205,12,New ward
120221,21,Mashonaland Central,Centenary,,1202,12,Old ward
120501,1,Mashonaland Central,Mount Darwin,,1205,12,Boundary adjusted
162301,1,Matabeleland South,Plumtree,,1623,16,New ward
160207,7,Matabeleland South,Bulilima,,1602,16,Old ward
162306,6,Matabeleland South,Plumtree,,1623,16,New ward
162304,4,Matabeleland South,Plumtree,,1623,16,New ward
160211,11,Matabeleland South,Bulilima,,1602,16,Old ward
170611,11,Midlands,Mberengwa,,1706,17,Old ward
150402,2,Matabeleland North,Lupane,,1504,15,Old ward
150404,4,Matabeleland North,Lupane,,1504,15,Old ward
180615,15,Masvingo,Mwenezi,,1806,18,Old ward
150509,9,Matabeleland North,Nkayi,,1505,15,Old ward
170332,32,Midlands,Gokwe South,,1703,17,Old ward
150206,6,Matabeleland North,Bubi,,1502,15,Old ward
130310,10,Mashonaland East,Hwedza,,1303,13,Old ward
110432,32,Manicaland,Makoni,,1104,11,Old ward
112210,10,Manicaland,Rusape,,1122,11,New ward
112209,9,Manicaland,Rusape,,1122,11,New ward
120112,12,Mashonaland Central,Bindura,,1201,12,Old ward
130203,3,Mashonaland East,Goromonzi,,1302,13,Old ward
120806,6,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120603,3,Mashonaland Central,Rushinga,,1206,12,Boundary adjusted
120319,19,Mashonaland Central,Guruve,,1203,12,Old ward
162302,2,Matabeleland South,Plumtree,,1623,16,New ward
160304,4,Matabeleland South,Mangwe,,1603,16,Old ward
162107,7,Matabeleland South,Gwanda Urban,,1621,16,New ward
162303,3,Matabeleland South,Plumtree,,1623,16,New ward
160610,10,Matabeleland South,Matobo,,1606,16,Old ward
110713,13,Manicaland,Nyanga,,1107,11,Old ward
110714,14,Manicaland,Nyanga,,1107,11,Old ward
160507,7,Matabeleland South,Insiza,,1605,16,Old ward
162106,6,Matabeleland South,Gwanda Urban,,1621,16,New ward
182204,4,Masvingo,Chiredzi Urban,,1822,18,New ward
170637,37,Midlands,Mberengwa,,1706,17,New ward
170625,25,Midlands,Mberengwa,,1706,17,Old ward
170612,12,Midlands,Mberengwa,,1706,17,Old ward
180530,30,Masvingo,Masvingo,,1805,18,Old ward
180329,29,Masvingo,Chivi,,1803,18,Old ward
180327,27,Masvingo,Chivi,,1803,18,Old ward
180208,8,Masvingo,Chiredzi,,1802,18,Old ward
182203,3,Masvingo,Chiredzi Urban,,1822,18,New ward
180726,26,Masvingo,Zaka,,1807,18,Old ward
180528,28,Masvingo,Masvingo,,1805,18,Old ward
110325,25,Manicaland,Chipinge,,1103,11,Old ward
110328,28,Manicaland,Chipinge,,1103,11,Old ward
150719,19,Matabeleland North,Umguza,,1507,15,New ward
160206,6,Matabeleland South,Bulilima,,1602,16,Old ward
170232,32,Midlands,Gokwe North,,1702,17,New ward
172201,1,Midlands,Kwekwe Urban,,1722,17,Old ward
150703,3,Matabeleland North,Umguza,,1507,15,Old ward
150213,13,Matabeleland North,Bubi,,1502,15,Old ward
180308,8,Masvingo,Chivi,,1803,18,Old ward
180533,33,Masvingo,Masvingo,,1805,18,New ward
112208,8,Manicaland,Rusape,,1122,11,New ward
172309,9,Midlands,Redcliff,,1723,17,Old ward
140222,22,Mashonaland West,Hurungwe,,1402,14,New ward
180734,34,Masvingo,Zaka,,1807,18,New ward
180439,39,Masvingo,Gutu,,1804,18,New ward
110127,27,Manicaland,Buhera,,1101,11,Old ward
110310,10,Manicaland,Chipinge,,1103,11,Old ward
150411,11,Matabeleland North,Lupane,,1504,15,Old ward
150406,6,Matabeleland North,Lupane,,1504,15,Old ward
150412,12,Matabeleland North,Lupane,,1504,15,Old ward
172305,5,Midlands,Redcliff,,1723,17,Old ward
170402,2,Midlands,Gweru,,1704,17,Old ward
170405,5,Midlands,Gweru,,1704,17,Old ward
150528,28,Matabeleland North,Nkayi,,1505,15,New ward
150521,21,Matabeleland North,Nkayi,,1505,15,Old ward
152108,8,Matabeleland North,Hwange Urban,,1521,15,Old ward
152109,9,Matabeleland North,Hwange Urban,,1521,15,Old ward
152104,4,Matabeleland North,Hwange Urban,,1521,15,Old ward
112107,7,Manicaland,Mutare Urban,,1121,11,New ward
170331,31,Midlands,Gokwe South,,1703,17,Old ward
170318,18,Midlands,Gokwe South,,1703,17,Old ward
110506,6,Manicaland,Mutare,,1105,11,Old ward
110507,7,Manicaland,Mutare,,1105,11,Old ward
110525,25,Manicaland,Mutare,,1105,11,Old ward
112106,6,Manicaland,Mutare Urban,,1121,11,New ward
112117,17,Manicaland,Mutare Urban,,1121,11,New ward
112204,4,Manicaland,Rusape,,1122,11,New ward
112201,1,Manicaland,Rusape,,1122,11,New ward
112207,7,Manicaland,Rusape,,1122,11,New ward
150427,27,Matabeleland North,Lupane,,1504,15,New ward
150307,7,Matabeleland North,Hwange,,1503,15,Old ward
150308,8,Matabeleland North,Hwange,,1503,15,Old ward
152102,2,Matabeleland North,Hwange Urban,,1521,15,Old ward
150113,13,Matabeleland North,Binga,,1501,15,Old ward
150310,10,Matabeleland North,Hwange,,1503,15,Old ward
142512,12,Mashonaland West,Norton,,1425,14,Old ward
150115,15,Matabeleland North,Binga,,1501,15,Old ward
142802,2,Mashonaland West,Sanyati,,1428,14,?
140121,21,Mashonaland West,Chegutu,,1401,14,Old ward
142510,10,Mashonaland West,Norton,,1425,14,?
130630,30,Mashonaland East,Murehwa,,1306,13,Old ward
130608,8,Mashonaland East,Murehwa,,1306,13,Old ward
130222,22,Mashonaland East,Goromonzi,,1302,13,Old ward
130224,24,Mashonaland East,Goromonzi,,1302,13,Old ward
130801,1,Mashonaland East,Seke,,1308,13,Old ward
130223,23,Mashonaland East,Goromonzi,,1302,13,Old ward
130221,21,Mashonaland East,Goromonzi,,1302,13,Old ward
130802,2,Mashonaland East,Seke,,1308,13,Old ward
132601,1,Mashonaland East,Ruwa,,1326,13,New ward
132602,2,Mashonaland East,Ruwa,,1326,13,?
130807,7,Mashonaland East,Seke,,1308,13,Old ward
130803,3,Mashonaland East,Seke,,1308,13,Old ward
130804,4,Mashonaland East,Seke,,1308,13,Old ward
132607,7,Mashonaland East,Ruwa,,1326,13,New ward
130817,17,Mashonaland East,Seke,,1308,13,Old ward
192304,4,Harare,Epworth,,1923,19,Old ward
192111,11,Harare,Harare,,1921,19,Old ward
192113,13,Harare,Harare,,1921,19,Old ward
192302,2,Harare,Epworth,,1923,19,Old ward
192207,7,Harare,Chitungwiza,,1922,19,Old ward
192209,9,Harare,Chitungwiza,,1922,19,Old ward
110401,1,Manicaland,Makoni,,1104,11,Old ward
110405,5,Manicaland,Makoni,,1104,11,Old ward
150122,22,Matabeleland North,Binga,,1501,15,New ward
170219,19,Midlands,Gokwe North,,1702,17,Old ward
170217,17,Midlands,Gokwe North,,1702,17,Old ward
170216,16,Midlands,Gokwe North,,1702,17,Old ward
170206,6,Midlands,Gokwe North,,1702,17,Old ward
120433,33,Mashonaland Central,Mazowe,,1204,12,New ward
120111,11,Mashonaland Central,Bindura,,1201,12,Old ward
120417,17,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120724,24,Mashonaland Central,Shamva,,1207,12,Old ward
130501,1,Mashonaland East,Mudzi,,1305,13,Old ward
142407,7,Mashonaland West,Kariba Urban,,1424,14,Old ward
142404,4,Mashonaland West,Kariba Urban,,1424,14,Old ward
120815,15,Mashonaland Central,Mbire,,1208,12,New ward
120804,4,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
120613,13,Mashonaland Central,Rushinga,,1206,12,Old ward
120624,24,Mashonaland Central,Rushinga,,1206,12,New ward
120206,6,Mashonaland Central,Centenary,,1202,12,Old ward
150101,1,Matabeleland North,Binga,,1501,15,Old ward
150123,23,Matabeleland North,Binga,,1501,15,New ward
160214,14,Matabeleland South,Bulilima,,1602,16,Old ward
160308,8,Matabeleland South,Mangwe,,1603,16,Old ward
160620,20,Matabeleland South,Matobo,,1606,16,Old ward
140201,1,Mashonaland West,Hurungwe,,1402,14,Old ward
160102,2,Matabeleland South,Beitbridge,,1601,16,Old ward
180215,15,Masvingo,Chiredzi,,1802,18,Old ward
160302,2,Matabeleland South,Mangwe,,1603,16,Old ward
110330,30,Manicaland,Chipinge,,1103,11,Old ward
120801,1,Mashonaland Central,Mbire,,1208,12,Boundary adjusted
160513,13,Matabeleland South,Insiza,,1605,16,Old ward
180503,3,Masvingo,Masvingo,,1805,18,Old ward
160104,4,Matabeleland South,Beitbridge,,1601,16,Old ward
150103,3,Matabeleland North,Binga,,1501,15,Old ward
150117,17,Matabeleland North,Binga,,1501,15,Old ward
150111,11,Matabeleland North,Binga,,1501,15,Old ward
160624,24,Matabeleland South,Matobo,,1606,16,Old ward
120323,23,Mashonaland Central,Guruve,,1203,12,New ward
180221,21,Masvingo,Chiredzi,,1802,18,Old ward
180214,14,Masvingo,Chiredzi,,1802,18,Old ward
160412,12,Matabeleland South,Gwanda,,1604,16,Old ward
150114,14,Matabeleland North,Binga,,1501,15,Old ward
150315,15,Matabeleland North,Hwange,,1503,15,Old ward
150602,2,Matabeleland North,Tsholotsho,,1506,15,Old ward
160111,11,Matabeleland South,Beitbridge,,1601,16,Old ward
160419,19,Matabeleland South,Gwanda,,1604,16,Old ward
160309,9,Matabeleland South,Mangwe,,1603,16,Old ward
110319,19,Manicaland,Chipinge,,1103,11,Old ward
150711,11,Matabeleland North,Umguza,,1507,15,Old ward
142804,4,Mashonaland West,Sanyati,,1428,14,New ward
120811,11,Mashonaland Central,Mbire,,1208,12,Old ward
160523,23,Matabeleland South,Insiza,,1605,16,New ward
170312,12,Midlands,Gokwe South,,1703,17,Old ward
150221,21,Matabeleland North,Bubi,,1502,15,Old ward
170314,14,Midlands,Gokwe South,,1703,17,Old ward
142716,16,Mashonaland West,Mhondoro-Ngezi,,1427,14,Old ward
170319,19,Midlands,Gokwe South,,1703,17,Old ward
110434,34,Manicaland,Makoni,,1104,11,Old ward
170228,28,Midlands,Gokwe North,,1702,17,Old ward
110413,13,Manicaland,Makoni,,1104,11,Old ward
140408,8,Mashonaland West,Kariba,,1404,14,Old ward
170227,27,Midlands,Gokwe North,,1702,17,Old ward
140403,3,Mashonaland West,Kariba,,1404,14,Old ward
140209,9,Mashonaland West,Hurungwe,,1402,14,Old ward
140220,20,Mashonaland West,Hurungwe,,1402,14,New ward
140519,19,Mashonaland West,Makonde,,1405,14,New ward
110704,4,Manicaland,Nyanga,,1107,11,Old ward
120207,7,Mashonaland Central,Centenary,,1202,12,Old ward
160306,6,Matabeleland South,Mangwe,,1603,16,Old ward
160316,16,Matabeleland South,Mangwe,,1603,16,New ward
160313,13,Matabeleland South,Mangwe,,1603,16,New ward
180612,12,Masvingo,Mwenezi,,1806,18,Old ward
180332,32,Masvingo,Chivi,,1803,18,New ward
180604,4,Masvingo,Mwenezi,,1806,18,Old ward
180729,29,Masvingo,Zaka,,1807,18,Old ward
180226,26,Masvingo,Chiredzi,,1802,18,New ward
180207,7,Masvingo,Chiredzi,,1802,18,Old ward
110719,19,Manicaland,Nyanga,,1107,11,Old ward
140213,13,Mashonaland West,Hurungwe,,1402,14,Old ward
150714,14,Matabeleland North,Umguza,,1507,15,Old ward
150715,15,Matabeleland North,Umguza,,1507,15,Old ward
150419,19,Matabeleland North,Lupane,,1504,15,Old ward
170702,2,Midlands,Shurugwi,,1707,17,Old ward
150202,2,Matabeleland North,Bubi,,1502,15,Old ward
170115,15,Midlands,Chirumhanzu,,1701,17,Old ward
170516,16,Midlands,Kwekwe,,1705,17,Old ward
170501,1,Midlands,Kwekwe,,1705,17,Old ward
130115,15,Mashonaland East,Chikomba,,1301,13,Old ward
110509,9,Manicaland,Mutare,,1105,11,Old ward
110519,19,Manicaland,Mutare,,1105,11,Old ward
170231,31,Midlands,Gokwe North,,1702,17,New ward
170306,6,Midlands,Gokwe South,,1703,17,Old ward
170235,35,Midlands,Gokwe North,,1702,17,New ward
170236,36,Midlands,Gokwe North,,1702,17,New ward
140126,26,Mashonaland West,Chegutu,,1401,14,Old ward
140405,5,Mashonaland West,Kariba,,1404,14,Old ward
140401,1,Mashonaland West,Kariba,,1404,14,Old ward
140411,11,Mashonaland West,Kariba,,1404,14,Old ward
140503,3,Mashonaland West,Makonde,,1405,14,Old ward
120220,20,Mashonaland Central,Centenary,,1202,12,Old ward
170120,20,Midlands,Chirumhanzu,,1701,17,New ward
